성별,만나이(세),만나이(개월),L,M,S,체질량지수(kg/m2) 백분위수,,,,,,,,,,,,,체질량지수(kg/m2) 표준점수,,,,,,
,,,,,,1st,3rd,5th,10th,15th,25th,50th,75th,85th,90th,95th,97th,99th,-3SD,-2SD,-1SD,0 ,+1SD,+2SD,+3SD
1,2,24,-0.6187 ,16.0189 ,0.0779 ,13.5 ,13.9 ,14.2 ,14.5 ,14.8 ,15.2 ,16.0 ,16.9 ,17.4 ,17.8 ,18.3 ,18.7 ,19.4 ,12.9 ,13.8 ,14.8 ,16.0 ,17.3 ,18.9 ,20.6 
1,,25,-0.5840 ,15.9800 ,0.0779 ,13.5 ,13.9 ,14.1 ,14.5 ,14.8 ,15.2 ,16.0 ,16.9 ,17.4 ,17.7 ,18.3 ,18.6 ,19.4 ,12.8 ,13.8 ,14.8 ,16.0 ,17.3 ,18.8 ,20.5 
1,,26,-0.5497 ,15.9414 ,0.0780 ,13.4 ,13.8 ,14.1 ,14.5 ,14.7 ,15.1 ,15.9 ,16.8 ,17.3 ,17.7 ,18.2 ,18.6 ,19.3 ,12.8 ,13.7 ,14.8 ,15.9 ,17.3 ,18.8 ,20.5 
1,,27,-0.5166 ,15.9036 ,0.0781 ,13.4 ,13.8 ,14.0 ,14.4 ,14.7 ,15.1 ,15.9 ,16.8 ,17.3 ,17.6 ,18.2 ,18.5 ,19.2 ,12.7 ,13.7 ,14.7 ,15.9 ,17.2 ,18.7 ,20.4 
1,,28,-0.4850 ,15.8667 ,0.0782 ,13.3 ,13.8 ,14.0 ,14.4 ,14.7 ,15.1 ,15.9 ,16.7 ,17.2 ,17.6 ,18.1 ,18.5 ,19.2 ,12.7 ,13.6 ,14.7 ,15.9 ,17.2 ,18.7 ,20.4 
1,,29,-0.4552 ,15.8306 ,0.0783 ,13.3 ,13.7 ,14.0 ,14.4 ,14.6 ,15.0 ,15.8 ,16.7 ,17.2 ,17.5 ,18.1 ,18.4 ,19.1 ,12.7 ,13.6 ,14.7 ,15.8 ,17.1 ,18.6 ,20.3 
1,,30,-0.4274 ,15.7953 ,0.0784 ,13.3 ,13.7 ,13.9 ,14.3 ,14.6 ,15.0 ,15.8 ,16.7 ,17.2 ,17.5 ,18.0 ,18.4 ,19.1 ,12.6 ,13.6 ,14.6 ,15.8 ,17.1 ,18.6 ,20.2 
1,,31,-0.4016 ,15.7606 ,0.0785 ,13.2 ,13.7 ,13.9 ,14.3 ,14.5 ,15.0 ,15.8 ,16.6 ,17.1 ,17.5 ,18.0 ,18.4 ,19.1 ,12.6 ,13.5 ,14.6 ,15.8 ,17.1 ,18.5 ,20.2 
1,,32,-0.3782 ,15.7267 ,0.0787 ,13.2 ,13.6 ,13.9 ,14.2 ,14.5 ,14.9 ,15.7 ,16.6 ,17.1 ,17.4 ,18.0 ,18.3 ,19.0 ,12.5 ,13.5 ,14.6 ,15.7 ,17.0 ,18.5 ,20.1 
